nome_escola_siope,municipio,nome_dependencia_administrativa,codigo_escola,codigo_mec,bairro,distrito,cep,complemento,endereco,numero,end2,lon,lat
DJANIRA MOCO PROFA EMEI V,Bariri,MUNICIPAL,249701,35249701,NUCLEO DOMINGOS AQUILANTE,BARIRI,17250000,AVENIDA,RUA LUIS FURLANETO,567,"rua luis furlaneto 567 nucleo domingos aquilante , SP, Brasil",-48.7503168,-22.0871411
SAMUEL PEREIRA DE LIMA PROFESSOR EMEF,Ribeirão do Sul,MUNICIPAL,278695,35278695,JARDIM SATELITE,RIBEIRAO DO SUL,19930000,"",AUGUSTO CORREA GOMES,SN,"augusto correa gomes sn jardim satelite , SP, Brasil",-49.9269495,-22.7878932
MARIA NAZARET CURI EMEI,Ribeirão do Sul,MUNICIPAL,75073,35075073,JARDIM EXPLANADA,RIBEIRAO DO SUL,19930000,"",RUA DAS PAINEIRAS,150,"rua das paineiras 150 jardim explanada , SP, Brasil",-46.5381407,-23.6493553
EMEF PROFESSOR WAGNER CAMPATO,Inúbia Paulista,MUNICIPAL,274483,35274483,CENTRO,INUBIA PAULISTA,17760000,RUA,RUA JOAO GERONIMO LOPES,572,"rua joao geronimo lopes 572 centro , SP, Brasil",-46.2821298,-24.0151869
CRECHE PROFESSORA NEYDE ARRUDA HERNANDEZ,Guararapes,MUNICIPAL,582463,35582463,CH CLINEU DE ALMEIDA,GUARARAPES,16700000,"",RUA ALVARO ORSI,371,"rua alvaro orsi 371 ch clineu de almeida , SP, Brasil",-50.6563537,-21.2631737
JOAQUIM MARQUES DE OLIVEIRA DOUTOR CRECHE MUNICIPAL,Guararapes,MUNICIPAL,282078,35282078,JARDIM  FRANCISCO ANTONIOLI,GUARARAPES,16700000,RUA,RUA IZABEL PARRILHA BONILHA,57,"rua izabel parrilha bonilha 57 jardim  francisco antonioli , SP, Brasil",-50.6510402,-21.2683141
ADELMO ALMEIDA EMEB,Guararapes,MUNICIPAL,436409,35436409,CENTRO,GUARARAPES,16700000,RUA,RUA JOAO BATISTA PERES MARQUES,904,"rua joao batista peres marques 904 centro , SP, Brasil",-50.6383523,-21.2571528
ELSA FUMIE UMEBAYASHI NACAGAMI CRECHE,Guararapes,MUNICIPAL,560418,35560418,VILA MEDEIROS,GUARARAPES,16700000,"",ETTORE MESTRINER,45,"ettore mestriner 45 vila medeiros , SP, Brasil",-46.5845224,-23.4892554
OSORIO LEMAIRE DE MORAIS PROF EMEF,Paraguaçu Paulista,MUNICIPAL,283319,35283319,JARDIM DAS OLIVEIRAS,PARAGUACU PAULISTA,19700000,RUA,AVENIDA HUGO SIMONETI,585,"avenida hugo simoneti 585 jardim das oliveiras , SP, Brasil",-50.5744072,-22.4304388
ANTONIO MAZZEI PROF EMEF,Paraguaçu Paulista,MUNICIPAL,217815,35217815,VILA AFFINI,PARAGUACU PAULISTA,19700000,RUA,RUA CONCEICAO MONTE ALEGRE,200,"rua conceicao monte alegre 200 vila affini , SP, Brasil",-50.5786277,-22.4204856
DJANIRA DOS SANTOS BENETTI EMEF,Valparaíso,MUNICIPAL,221004,35221004,AGROVILA,VALPARAISO,16880000,RUA,RUA DOUTOR EURIPEDES LEITE BASTOS,116,"rua doutor euripedes leite bastos 116 agrovila , SP, Brasil",-46.7161591,-23.6789472
EDITH ALVES MOREIRA EMEI CRECHE,Valparaíso,MUNICIPAL,73659,35073659,LAMBARI,VALPARAISO,16880000,RUA,RUA SIMAO ALVES,760,"rua simao alves 760 lambari , SP, Brasil",-50.8661382,-21.2333102
PERSIO SCATENA GARCIA PROFESSOR EMEF,Valparaíso,MUNICIPAL,337304,35337304,PEDRO SAMUEL,VALPARAISO,16880000,RUA,RUA BARTOLOMEU BUENO,878,"rua bartolomeu bueno 878 pedro samuel , SP, Brasil",-50.8617698,-21.2356351
JOAQUIM ABILIO FERREIRA EMEI,Valparaíso,MUNICIPAL,287106,35287106,CANGUCU,VALPARAISO,16880000,RUA,AVENIDA DOUTOR RAMOS DE MOURAO,1350,"avenida doutor ramos de mourao 1350 cangucu , SP, Brasil",-52.6787852,-31.3964785
HELENA WIRGUES RAMOS PROFA EMEF,Paraguaçu Paulista,MUNICIPAL,217839,35217839,VILA NOVA,PARAGUACU PAULISTA,19700000,RUA,RUA JERONIMO VIEIRA,685,"rua jeronimo vieira 685 vila nova , SP, Brasil",-50.5885678,-22.4247758
CELIO RODRIGUES SIQUEIRA PROF EMEF,Paraguaçu Paulista,MUNICIPAL,243553,35243553,JARDIM DAS OLIVEIRAS,PARAGUACU PAULISTA,19700000,RUA,AVENIDA HUGO SIMONETT,675,"avenida hugo simonett 675 jardim das oliveiras , SP, Brasil",-50.5742724,-22.4293257
MARIA ANTONIA TORRES GOBBI ALFREDO PROFA EMEI,Paraguaçu Paulista,MUNICIPAL,88959,35088959,MURILO MACEDO,PARAGUACU PAULISTA,19700000,RUA,RUA RUTH DELIBERADOR,90,"rua ruth deliberador 90 murilo macedo , SP, Brasil",-50.5832176,-22.4334979
