no_municipio,nome_escola_siope,esc,nome_dependencia_administrativa,nome_escola_secretaria,codigo_escola,codigo_mec,bairro,distrito,cep,complemento,endereco,numero
bariri,DJANIRA MOCO PROFA EMEI V,djanira moco profa emei v,MUNICIPAL,DJANIRA MOCO PROFA EMEI V,249701,35249701,NUCLEO DOMINGOS AQUILANTE,BARIRI,17250000,AVENIDA,RUA LUIS FURLANETO,567
ribeirao do sul,SAMUEL PEREIRA DE LIMA PROFESSOR EMEF,samuel pereira de lima professor emef,MUNICIPAL,SAMUEL PEREIRA DE LIMA PROFESSOR EMEF,278695,35278695,JARDIM SATELITE,RIBEIRAO DO SUL,19930000,"",AUGUSTO CORREA GOMES,SN
ribeirao do sul,MARIA NAZARET CURI EMEI,maria nazaret curi emei,MUNICIPAL,MARIA NAZARET CURI EMEI,75073,35075073,JARDIM EXPLANADA,RIBEIRAO DO SUL,19930000,"",RUA DAS PAINEIRAS,150
inubia paulista,EMEF PROFESSOR WAGNER CAMPATO,emef professor wagner campato,MUNICIPAL,EMEF PROFESSOR WAGNER CAMPATO,274483,35274483,CENTRO,INUBIA PAULISTA,17760000,RUA,RUA JOAO GERONIMO LOPES,572
guararapes,CRECHE PROFESSORA NEYDE ARRUDA HERNANDEZ,creche professora neyde arruda hernandez,MUNICIPAL,CRECHE PROFESSORA NEYDE ARRUDA HERNANDEZ,582463,35582463,CH CLINEU DE ALMEIDA,GUARARAPES,16700000,"",RUA ALVARO ORSI,371
guararapes,JOAQUIM MARQUES DE OLIVEIRA DOUTOR CRECHE MUNICIPAL,joaquim marques de oliveira doutor creche municipal,MUNICIPAL,JOAQUIM MARQUES DE OLIVEIRA DOUTOR CRECHE MUNICIPAL,282078,35282078,JARDIM  FRANCISCO ANTONIOLI,GUARARAPES,16700000,RUA,RUA IZABEL PARRILHA BONILHA,57
guararapes,ADELMO ALMEIDA EMEB,adelmo almeida emeb,MUNICIPAL,ADELMO ALMEIDA EMEB,436409,35436409,CENTRO,GUARARAPES,16700000,RUA,RUA JOAO BATISTA PERES MARQUES,904
guararapes,ELSA FUMIE UMEBAYASHI NACAGAMI CRECHE,elsa fumie umebayashi nacagami creche,MUNICIPAL,ELSA FUMIE UMEBAYASHI NACAGAMI CRECHE,560418,35560418,VILA MEDEIROS,GUARARAPES,16700000,"",ETTORE MESTRINER,45
paraguacu paulista,OSORIO LEMAIRE DE MORAIS PROF EMEF,osorio lemaire de morais prof emef,MUNICIPAL,OSORIO LEMAIRE DE MORAIS PROF EMEF,283319,35283319,JARDIM DAS OLIVEIRAS,PARAGUACU PAULISTA,19700000,RUA,AVENIDA HUGO SIMONETI,585
paraguacu paulista,ANTONIO MAZZEI PROF EMEF,antonio mazzei prof emef,MUNICIPAL,ANTONIO MAZZEI PROF EMEF,217815,35217815,VILA AFFINI,PARAGUACU PAULISTA,19700000,RUA,RUA CONCEICAO MONTE ALEGRE,200
